#opcode	name	dir	nFuncs	funcAddrs(<=3)
10264	S2C_CMD_ACTIVITY_WILDHUNTAPPLY	S2C	6	10636890:FUN_10636890 | 10655820:FUN_10655820 | 106c47d0:FUN_106c47d0
10265	C2S_CMD_ACTIVITY_GETWILDHUNT_REQ	C2S	5	10636900:FUN_10636900 | 106c4870:FUN_106c4870 | 1113fec0:FUN_1113fec0
10272	S2C_CMD_ACTIVITY_GETWILDHUNT_RSP	S2C	6	10636970:FUN_10636970 | 10655860:FUN_10655860 | 106c4910:FUN_106c4910
10273	S2C_CMD_ACTIVITY_FETCH_PROC_CLEAR	S2C	5	106369e0:FUN_106369e0 | 106c49b0:FUN_106c49b0 | 11140040:FUN_11140040
10274	S2C_CMD_ACTIVITY_ADDSECRETQUEST	S2C	5	10636a50:FUN_10636a50 | 106c4a50:FUN_106c4a50 | 111400b0:FUN_111400b0
10275	S2C_CMD_ACTIVITY_REMOVESECRETQUEST	S2C	5	10636ac0:FUN_10636ac0 | 106c4af0:FUN_106c4af0 | 11140130:FUN_11140130
10276	S2C_CMD_ACTIVITY_GETWILDHUNTTASKS	S2C	5	10636c10:FUN_10636c10 | 106c4cd0:FUN_106c4cd0 | 111401a0:FUN_111401a0
10277	S2C_CMD_ACTIVITY_CLEARWILDHUNT	S2C	5	10636c80:FUN_10636c80 | 106c4d70:FUN_106c4d70 | 11140220:FUN_11140220
12599	C2S_CMD_ITEM_EQUIPRECOLOR_REQ	C2S	5	10628660:FUN_10628660 | 106b0760:FUN_106b0760 | 11146900:FUN_11146900
12600	S2C_CMD_ITEM_EQUIPRECOLOR_RSP	S2C	5	106286d0:FUN_106286d0 | 106b0800:FUN_106b0800 | 11146990:FUN_11146990
12601	C2S_CMD_ITEM_EQUIP_FAKESHOW_REQ	C2S	5	10628740:FUN_10628740 | 106b08a0:FUN_106b08a0 | 11146a20:FUN_11146a20
12608	S2C_CMD_ITEM_EQUIP_FAKESHOW_RSP	S2C	5	106287b0:FUN_106287b0 | 106b0940:FUN_106b0940 | 11146aa0:FUN_11146aa0
